Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,529685,-,-,-,26.05,-103.26,-6,1090,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2014,1,1,0,30,4,0,0,0,0,4,0,0,0,0,100.0,173.24,0.2597599923610687,890.0,1.462,357.0,0.5
2014,1,1,1,30,4,0,0,0,0,4,0,0,0,0,100.0,171.79,0.2597599923610687,890.0,1.48,45.7,0.6000000000000001
2014,1,1,2,30,3,0,0,0,0,2,0,0,0,0,100.0,158.55,0.2597599923610687,890.0,1.5110000000000001,76.2,0.7000000000000001
2014,1,1,3,30,3,0,0,0,1,2,0,0,0,0,100.0,145.08,0.2597599923610687,890.0,1.542,86.9,0.8
2014,1,1,4,30,3,0,0,0,1,2,0,0,0,0,100.0,131.69,0.2597599923610687,890.0,1.565,91.10000000000001,1.1
2014,1,1,5,30,3,0,0,0,1,2,0,0,0,0,100.0,118.46000000000001,0.2597599923610687,890.0,1.567,93.30000000000001,1.4000000000000001
2014,1,1,6,30,3,0,0,0,1,2,0,0,0,0,100.0,105.5,0.2597599923610687,890.0,1.537,83.4,1.5
2014,1,1,7,30,3,0,0,0,0,2,0,0,0,0,100.0,92.94,0.2597599923610687,890.0,1.471,67.2,1.5
2014,1,1,8,30,4,40,560,127,3,3,40,560,4,127,95.71000000000001,81.0,0.2597599923610687,890.0,1.389,51.2,1.8
2014,1,1,9,30,6,62,796,334,3,4,128,17,0,134,87.51,70.02,0.2597599923610687,890.0,1.325,40.300000000000004,2.0
2014,1,1,10,30,9,73,899,516,3,4,211,50,4,236,74.29,60.52,0.2597599923610687,890.0,1.294,33.4,2.1
2014,1,1,11,30,12,77,955,648,0,4,77,955,0,648,62.230000000000004,53.31,0.2597599923610687,890.0,1.289,38.800000000000004,2.1
2014,1,1,12,30,15,86,963,713,0,5,86,963,0,713,51.56,49.43,0.2597599923610687,890.0,1.303,50.0,1.8
2014,1,1,13,30,17,84,966,709,0,5,84,966,0,709,45.2,49.660000000000004,0.2597599923610687,890.0,1.326,71.4,1.3
2014,1,1,14,30,18,80,943,635,0,5,80,943,0,635,42.34,53.94,0.2597599923610687,890.0,1.351,103.5,1.0
2014,1,1,15,30,18,73,889,498,0,4,73,889,0,498,41.96,61.44,0.2597599923610687,890.0,1.36,139.6,1.0
2014,1,1,16,30,16,61,777,312,3,5,121,337,0,230,48.35,71.14,0.2597599923610687,890.0,1.339,167.10000000000002,0.9
2014,1,1,17,30,14,36,524,106,3,8,47,250,4,81,68.3,82.25,0.2597599923610687,890.0,1.29,199.8,0.9
2014,1,1,18,30,12,0,0,0,3,6,0,0,0,0,70.17,94.27,0.2597599923610687,890.0,1.217,213.70000000000002,1.1
2014,1,1,19,30,11,0,0,0,4,5,0,0,0,0,70.58,106.87,0.2597599923610687,890.0,1.116,220.0,1.1
2014,1,1,20,30,11,0,0,0,1,4,0,0,0,0,64.43,119.87,0.2597599923610687,890.0,0.997,225.8,1.1
2014,1,1,21,30,11,0,0,0,1,3,0,0,0,0,60.76,133.12,0.2597599923610687,890.0,0.897,232.4,0.9
2014,1,1,22,30,10,0,0,0,3,3,0,0,0,0,62.77,146.53,0.2597599923610687,890.0,0.842,243.20000000000002,0.6000000000000001
2014,1,1,23,30,9,0,0,0,0,3,0,0,0,0,66.9,159.99,0.2597599923610687,890.0,0.8220000000000001,283.2,0.4
2014,1,2,0,30,8,0,0,0,0,3,0,0,0,0,72.82000000000001,173.11,0.2597599923610687,890.0,0.8190000000000001,1.5,0.6000000000000001
2014,1,2,1,30,7,0,0,0,0,3,0,0,0,0,80.22,171.86,0.2597599923610687,890.0,0.8250000000000001,38.300000000000004,0.8
2014,1,2,2,30,6,0,0,0,0,4,0,0,0,0,87.69,158.63,0.2597599923610687,890.0,0.8320000000000001,74.4,1.0
2014,1,2,3,30,5,0,0,0,0,4,0,0,0,0,93.95,145.17000000000002,0.2597599923610687,890.0,0.839,109.80000000000001,1.2000000000000002
2014,1,2,4,30,3,0,0,0,0,2,0,0,0,0,100.0,131.77,0.2597599923610687,890.0,0.844,133.20000000000002,1.3
2014,1,2,5,30,3,0,0,0,0,2,0,0,0,0,99.5,118.53,0.2597599923610687,890.0,0.848,149.1,1.3
2014,1,2,6,30,2,0,0,0,0,2,0,0,0,0,100.0,105.56,0.2597599923610687,890.0,0.853,164.70000000000002,1.2000000000000002
2014,1,2,7,30,3,0,0,0,0,1,0,0,0,0,89.68,93.0,0.2597599923610687,890.0,0.859,186.9,1.5
2014,1,2,8,30,6,37,608,132,0,1,37,608,0,132,75.12,81.04,0.2597599923610687,900.0,0.865,216.60000000000002,2.7
2014,1,2,9,30,9,58,831,342,0,1,58,831,0,342,58.63,70.04,0.2597599923610687,900.0,0.869,244.8,4.2
2014,1,2,10,30,11,71,924,526,0,0,71,924,0,526,48.81,60.51,0.2597599923610687,900.0,0.871,259.6,4.7
2014,1,2,11,30,13,79,970,659,0,0,79,970,0,659,42.56,53.27,0.2597599923610687,900.0,0.871,264.6,4.6000000000000005
2014,1,2,12,30,14,85,983,726,0,0,85,983,0,726,39.4,49.36,0.2597599923610687,890.0,0.87,265.90000000000003,4.4
