Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,26442,-,-,-,25.17,-111.74,-7,43,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2014,1,1,0,30,13,0,0,0,0,8,0,0,0,0,76.37,177.82,0.1798499971628189,1010.0,0.851,172.8,1.7000000000000002
2014,1,1,1,30,12,0,0,0,0,8,0,0,0,0,77.76,166.24,0.1798499971628189,1010.0,0.84,175.10000000000002,1.4000000000000001
2014,1,1,2,30,11,0,0,0,0,7,0,0,0,0,80.06,152.68,0.1798499971628189,1010.0,0.841,179.10000000000002,1.2000000000000002
2014,1,1,3,30,11,0,0,0,0,7,0,0,0,0,78.89,139.15,0.1798499971628189,1010.0,0.846,193.8,1.2000000000000002
2014,1,1,4,30,11,0,0,0,0,7,0,0,0,0,79.11,125.75,0.1798499971628189,1010.0,0.851,214.4,1.5
2014,1,1,5,30,11,0,0,0,0,7,0,0,0,0,80.88,112.55,0.1798499971628189,1010.0,0.854,236.60000000000002,1.8
2014,1,1,6,30,11,0,0,0,0,8,0,0,0,0,83.65,99.67,0.1798499971628189,1010.0,0.859,253.70000000000002,2.1
2014,1,1,7,30,13,17,318,32,0,8,17,318,0,32,76.3,87.26,0.1798499971628189,1010.0,0.866,263.1,2.4000000000000004
2014,1,1,8,30,17,48,735,231,0,9,48,735,0,231,61.0,75.59,0.1798499971628189,1010.0,0.873,282.0,2.3000000000000003
2014,1,1,9,30,21,62,882,434,0,8,62,882,0,434,45.58,65.05,0.1798499971628189,1010.0,0.878,315.20000000000005,2.2
