Nombre de la presa,Nombre de la central,Número de turbinas,Capacidad efectiva(MW),Factor de planta,Latitud,Longitud,Zona,UTM_X,UTM_Y,Corriente,Cuenca,Región CNA,"Región 
hidrológica",Estado,Municipio,Área de control,Altura de la cortina(m),Material de cortina,Tipo,"Capacidad del 
Nivel de agua máxima ordinario NAMO (hm3)",Capacidad  del nivel de agua minimo (hm3),Uso,Zona Sísmica,Fuente,"Elevación del nivel del agua (nsnm)
2007",,,,,,,,,,,,"Elevación del nivel del agua (nsnm)
2008",,,,,,,,,,,,"Elevación del nivel del agua (nsnm)
2009",,,,,,,,,,,,"Elevación del nivel del agua (nsnm)
2010",,,,,,,,,,,,"Elevación del nivel del agua (nsnm)
2011",,,,,,,,,,,,"Elevación del nivel del agua (nsnm)
2012",,,,,,,,,,,,"Elevación del nivel del agua (nsnm)
2013",,,,,,,,,,,,"Elevación del nivel del agua (nsnm)
2014",,,,,,,,,,,,"Elevación del nivel del agua (nsnm)
2015",,,,,,,,,,,,Generación MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Observación
,,,,,,,,,,,,,,,,,,,,,,,,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,2002m1,2002m2,2002m3,2002m4,2002m5,2002m6,2002m7,2002m8,2002m9,2002m10,2002m11,2002m12,2003m1,2003m2,2003m3,2003m4,2003m5,2003m6,2003m7,2003m8,2003m9,2003m10,2003m11,2003m12,2004m1,2004m2,2004m3,2004m4,2004m5,2004m6,2004m7,2004m8,2004m9,2004m10,2004m11,2004m12,2005m1,2005m2,2005m3,2005m4,2005m5,2005m6,2005m7,2005m8,2005m9,2005m10,2005m11,2005m12,2006m1,2006m2,2006m3,2006m4,2006m5,2006m6,2006m7,2006m8,2006m9,2006m10,2006m11,2006m12,2007m1,2007m2,2007m3,2007m4,2007m5,2007m6,2007m7,2007m8,2007m9,2007m10,2007m11,2007m12,2008m1,2008m2,2008m3,2008m4,2008m5,2008m6,2008m7,2008m8,2008m9,2008m10,2008m11,2008m12,2009m1,2009m2,2009m3,2009m4,2009m5,2009m6,2009m7,2009m8,2009m9,2009m10,2009m11,2009m12,2010m1,2010m2,2010m3,2010m4,2010m5,2010m6,2010m7,2010m8,2010m9,2010m10,2010m11,2010m12,2011m1,2011m2,2011m3,2011m4,2011m5,2011m6,2011m7,2011m8,2011m9,2011m10,2011m11,2011m12,2012m1,2012m2,2012m3,2012m4,2012m5,2012m6,2012m7,2012m8,2012m9,2012m10,2012m11,2012m12,2013m1,2013m2,2013m3,2013m4,2013m5,2013m6,2013m7,2013m8,2013m9,2013m10,2013m11,2013m12,
Chicoasén,Ing. Manuel Moreno Torres (Chicoasén),8,2400,0.35,16.94176,-93.10081,15Q,489294.85,1873130.62,Río Grijalva,Presa Chicoasén,Frontera Sur,Grijalva-Usumasinta,Chiapas,Chicoasen,Oriental,261,Materiales graduados,Flexibletierra y/o enrocamiento,1631.86,,Generación eléctrica,Media Sísmisidad,CFE y CONAGUA,392.1,392,391.86,391.29,391.34,391.62,389.9,387.74,389.24,388.72,391.26,388.3,390.23,391.02,391.73,391.44,391.89,392.38,390.93,390.9,390.63,390.8,390.7,391.14,390.71,391.49,391.09,390.54,392.38,391.82,388.3,388.71,388.69,389.13,391.38,391.8,391.7,392.02,391.76,390.93,391.38,391.73,391.58,388.86,389.37,385.65,388.23,389.95,391.96,391.79,392.08,392.6,391.92,392.05,390.93,389.56,390.84,392.27,388.71,392.37,391.24,391.59,391.89,391.09,389.68,391.06,391.59,390.12,388.62,387.29,389.1,390.7,391.35,391.09,392.1,392.24,391.93,391.46,389.18,388.53,388.19,388.05,392,387.9,390.12,391.91,392.47,391.52,391.91,391.51,388.14,388.11,389.27,389.84,392.01,392.09,391.65,391.51,391.73,391.86,387.42,390.65,390.2,388.53,389.8,389.07,391.05,391.91,491398.5,394194.8,273114.4,253393.1,348727.9,403940.3,322543.6,358113.4,407791.8,553670.5,316632.9,215685.9,305935,286721,229548,292095,296257,64344,121674,103285,299869,289014,94463,108665,54454,34859,102598,286819,411773,351911,357875,365010,337471,239654,331748,294924,166569.4,229370.6,168498.8,356506.1,373564.8,252134.3,469902.2,673264.9,571538.9,1090772,597318.3,594042.7,440776.4,304846.8,667810.3,528450.8,671569,669818.7,598957.7,639733.9,771704.7,508619.4,507655.2,372150.2,271725.3,201251.5,448765.7,361457.9,213283.4,200107.9,248489.8,221111.2,495891,522129.1,119346.2,74184.33,86999.03,105312.7,277659.5,941689.9,1028210,847694.8,710501.6,777446.9,1057101,783838.3,616516,419962.7,401896.2,453527,512082.5,533416.1,301902.1,412273.7,487032,502148,425020.7,390066.1,155907.4,149834.1,123671.6,84792.18,205444.1,187327.9,201724.9,444505,810309.8,942559.9,1642872,1332333,761229.2,521082.3,587363.7,558059.6,597561.1,540765.3,560080.1,535577.4,604850.5,747849.9,1017150,980661.8,760878.4,663727.8,661647.9,618826.3,587390.6,618343.1,797617.4,683484.7,519954.6,852658.8,442385.8,420909.2,254236.7,360512.7,132542.7,156743.8,224920.3,420662.9,329193.2,470325.9,590610.4,539914.4,751850.7,649550.9,532646.4,395853.1,
Netzahualcoyotl,Malpaso,6,1800,0.5,17.17845,-93.59871,15Q,436345.94,1899414.08,Río Grijalva,Chapopote,Frontera Sur,Grijalva-Usumasinta,Chiapas,Tecpatán,Oriental,138,Enrocamiento,Flexibletierra y/o enrocamiento,10596.32,,Generación eléctrica,Media Sísmisidad,CFE y CONAGUA,180.79,182.39,179.91,178.98,176.98,173.11,169.75,167.64,168.33,171.55,180.98,184.22,184.23,183.66,184.43,179.41,175.97,172.65,174.52,173.18,168.58,175.06,178.73,179.4,178.31,178.39,179.12,178.77,177.26,173.36,170.6,168.26,168.25,169.95,171.38,173.95,173.21,173.3,172.11,171.23,170.18,167.86,168.66,170.42,176.25,182.46,175.59,173.46,175.44,176.67,177.89,178.8,175.24,171.72,168.3,169.79,170.91,176,180.55,181.18,181.29,181.79,180.74,177.54,174.4,172.86,171.39,169.24,172.65,170.74,169.93,167.06,167.43,168.35,167.34,166.02,165.45,163.34,165.33,167.47,167.79,174.34,175.46,179.77,181.82,180,178.8,175.9,174.53,174.49,175.49,170.72,167.68,172.86,178.91,181,178.5,179.36,176.93,175.94,174.04,172.12,167.92,162.96,160.09,162.88,166.89,168.41,320596,266917.4,417246.6,448524.7,443449.3,360757.7,336835.8,245698.9,140092.7,223425.5,114545.2,140393.7,165930,146595,181110,132949,263571,149373,107529,103042,75986,50650,56500,75890,71041,93717,288063,318829,333065,280566,269971,242050,98288,115923,117707,120153,140067.8,115051.6,149509,136133.6,146192.1,251680.3,324333.7,372242.7,326163.3,423629.4,286384.8,190803.1,293778.3,340436,463932.1,458951.8,483967.7,437824.4,461134,493314,320415.6,103948.1,176316.9,185503.4,161478,317219.5,302726.1,305691.2,330608.2,287433.1,251908.7,167948.2,161425.5,66069,0.5,67397.36,149295.8,25109.04,489072.6,672402.1,656368.8,442647.8,569405.5,646746.6,319169.2,324942.9,317052.4,316601.5,233118.3,201416.5,300667.3,358846.3,389509.8,381053,393686.1,274335.5,188058.8,168525.9,77096.83,140929.1,124469.2,133828.6,161370.2,156737.5,215061.2,250613.6,439091.1,493555.8,709506.3,763029,537644.6,220999.8,262819.2,243699,296467.9,487695.3,476326.4,445083.6,386965.5,484108.9,490638,548689.2,453652.7,397648.3,383006.3,429559.5,524379.1,493688.5,477716,452555.7,392707.4,370575,405081.1,282130.5,266365.2,180577.2,94211,146589.3,176983.5,207528.7,245117,218780.1,247232,289731.2,325872.3,406135.8,226322.8,299942.4,
El Infiernillo,Infiernillo,6,1160,0.43,18.27303,-101.89292,14Q,194118.46,2022812.76,Río Balsas,Bajo Río Balsas,Balsas,Balsas,GRO./MICH.,Coahuayutla de José María Izazaga,Central,151.5,Materiales graduados,Flexibletierra y/o enrocamiento,12500,,Generación eléctrica,Alta Sísmisidad,CFE y CONAGUA,167.43,165.82,163.76,160.41,157.55,154.77,151.13,152.14,160.07,167.65,167,165.14,161.3,160.12,157.18,153.47,151.43,149.88,150.12,154.38,157.34,168.33,168.6,167.54,166.5,165.13,162.95,160.93,157.64,153.91,150.23,150.24,151.17,161,163.53,163.86,163.38,162.95,166.6,163.72,159.96,153.23,149.79,161.08,166.35,167.04,165.6,164.51,163.46,161.19,158.83,155.66,152.37,150.4,148.74,160.98,163.41,166.96,167.65,165.71,164.07,162.18,160.3,157.28,153.09,145.31,144.68,152.46,158.62,162.2,161.37,160.98,158.96,157.85,156.65,155.25,152.02,149.4,150.4,150.18,154.46,168.6,168.76,167.37,165.93,164.96,162.53,160.13,155.4,148.74,150.6,153.51,153.97,161.98,168,158.58,167.28,165.99,165.1,163.55,157.58,150.08,148.14,148.39,148.15,154.94,159.85,162.59,157262.2,153132.7,156109.3,251754.9,128767.3,150531.8,158939.6,326905.9,270319.6,414518.6,311794.5,282088.4,166861,123434,116577,159578,270377,109527,313203,261947,561886,669107,243649,157110,144621,114658,265202,257901,430781,436365,351355,286744,266366,455580,276947,182354,161542.5,104671.1,115212.1,282106.7,300477,329386.8,293007.9,389619.7,373232.2,137146.1,123740.9,138469.6,174617.7,143522.6,110748.6,159259.4,297568,229795.5,139190.9,249990.1,251062,303377.7,302807.1,157232,220178.8,215463.8,284338.4,208425.3,188672.7,256908.7,161670.3,244614.7,516697.7,390594.8,296917.8,365847.5,131082.3,226789.2,229888,121934,86161.36,81716.39,248717.3,391784.5,429934.9,557144.6,226962.1,163999.5,171669.3,233729.2,191422.5,247693,242038.2,235290.8,229821.4,142578.1,90719.92,116234.8,130463.9,108227.4,101679.4,144212.4,311939.9,303561,398840.8,227598.8,210728.8,639460.9,673627.6,551001,214157.7,168801.5,239891.3,205849.6,225098.9,201748.4,151806.8,132768.1,266756.9,564767,775468.2,316929.6,266091.6,218705.2,211221.6,201207.2,230538.2,257059.9,320440.4,135553.3,157797,365948.9,336205.5,373170.8,129143.4,217561.3,113133.1,104809.2,127439.1,189473.6,127604.8,150419.3,341050.1,233400.5,548954.1,759366.2,506218.2,277708.3,
Peñitas,Angel Albino Corzo (Peñitas),4,420,0.63,17.4463,-93.45862,15Q,451259.47,1928983.53,Río Grijalva,Presa Peñitas,Frontera Sur,Grijalva-Usumasinta,Chiapas,Ostuacan,Oriental,58,Materiales graduados,Flexibletierra y/o enrocamiento,1091,,Generación eléctrica,Media Sísmisidad,CFE y CONAGUA,85.9,84.75,85.98,85.98,86.06,86.32,85.96,86.36,84.98,85.42,90.1,87.36,77.52,80.82,85.85,85.93,85.74,87.22,85.51,84.88,86.07,87.03,85.16,85.45,85.37,86.49,85.54,85.34,86.03,85.77,86.17,86.28,86.27,85.75,87.23,85.7,85.7,86.07,85.71,85.92,85.93,85.28,85.34,85.17,85.41,84.73,85.95,86.4,86.71,85.61,85.59,85.99,85.94,86.13,86.34,85.69,86.46,86.22,85.91,85.39,85.7,85.6,85.8,85.87,86.34,86.57,85.92,86.13,86.37,86.5,86.31,86.22,85.95,86.37,85.98,86.27,87.01,86.58,86.23,86.38,86,85.47,86.15,85.43,86.09,86.4,86.48,86.75,86.42,86.37,85,85.8,86.57,85.73,85.76,85.6,85.86,86,86.19,86.45,85.66,86.45,86.55,86.05,86.25,86.24,85.59,85.51,137606.5,159951.7,188217.7,177063.6,199927,187137.6,157540.3,128501.6,93604.94,106985.6,106883.8,105812.6,85894,80092,81891,68840,130366,90241,60777,60098,64717,80627,69336,75807,83367,66487,118355,133630,155968,133807,131198,117671,78668,73007,79969,70731,65572.12,60124.06,67454.14,64706.38,67805.37,122722.8,156515.7,186010.1,154788.8,185376.1,124494.6,118459.7,131811.1,150439.7,187149.8,177472.7,197855.6,212936.1,215862.1,224266.9,166201.6,101109.5,98922.6,102704.3,127507.8,132246.4,126840.8,122789.8,135908.3,125768.7,115894.5,102791.3,92032.31,114651.8,30793.46,8144.52,0,27876.7,182175.1,271626.8,276953.9,201230,257017.8,285170.9,206624,166251.6,132738.8,129666.5,106642.9,87566.1,126357.1,145139,159531.7,164864.5,180162,146661.6,107675.8,89800.99,102005.8,76665,80057.57,68878.04,75762.39,72850.49,96320.76,133158.5,214822.1,260148,85059.34,3896,235500.3,119883.8,122183.7,120935.4,144923,191792.8,203021.2,195641.1,201667.3,232440.3,237831.3,258643.3,198309.5,171051.5,168130.1,174242.6,198932.3,194341.7,204038.3,197577.5,174547.8,177251.4,199921.1,140385,122727.9,106630.9,85692.97,79608.13,85900.73,98688.37,125770.3,120958.6,130906,156742.4,172204.7,199618.1,174711.1,194356.7,
La Angostura,Belisario Dominguez,5,900,0.41,16.40163,-92.77867,15Q,523597.21,1813526.12,Río Grijalva,Presa Chicoasén,Frontera Sur,Grijalva-Usumasinta,Chiapas,Venustiano Carranza,Oriental,147,Materiales graduados,Flexibletierra y/o enrocamiento,12762.43,,Generación eléctrica,Media Sísmisidad,CFE y CONAGUA,528.23,527.65,527.22,525.59,524.23,523.66,524.04,524.32,526.54,529.33,531.88,533.19,533.54,533.63,533.5,532.62,511,525.11,524.67,527.79,529.67,531.29,532.91,531.97,531.19,530.17,528.76,526.92,524.86,524.16,523.94,523.25,522.86,523.74,523.89,525.45,525.66,525.59,525.52,524.77,524.17,524.18,524.9,527.79,534.98,536.87,535.09,533.59,532.46,530.89,529.03,526.9,524.96,522.69,521.87,523.7,526.42,530.54,534.68,533.55,532.09,530.27,528.29,526.22,523.86,520.9,519.47,518.78,519.62,522.88,524.96,524.82,523.8,523.73,523.29,522.47,520.67,519.5,520.5,522.18,524.4,529.61,532.48,533.26,533.15,532.26,530.25,527.68,525.17,523.34,525.78,524.6,523.54,528.57,531.64,531.96,531.67,531.01,530.28,528.85,526.56,523.3,522.28,522.46,522.51,524.86,527.08,527.8,230958.7,180609.6,113621.6,115817.2,150941.4,137143.3,99644.9,138442,81190.58,185783.3,124594.5,100441.7,138727,122388,99197,130717,115966,6,0,0,209,25,30215,32001,12282,7525,47551,153816,206982,140173,139341,146562,109660,78540,172109,143269,78948.11,119981.6,82972.19,190920.6,190502.1,80940.01,120480.3,229020,238626.2,444583.5,304828.1,333452.8,237862.8,165136.7,373467.5,283501.6,351348.3,307375.1,255158,299524.9,324902,239141.3,272957.6,186727,135541.9,100724.7,234459.2,189123.5,104514.2,75883.55,94158.47,60283.72,175086.4,196184.9,34.56,28382.87,40109.22,52717.54,158166.6,541564.3,563781.6,387073.5,227578.9,295132.9,482499.9,373335.2,327325,217389.1,217686.3,244417.6,274492.1,291485.4,141872.4,181132.3,223093.1,236092.6,191188,177047.3,57320.81,63251.29,57368.04,37288.35,105514.9,94832.6,103567.9,170831,248717.5,200798,611250.6,526910,409608.5,281960.3,318482.5,301066.6,321381.5,279633.8,288323.4,243552.5,208045.5,240306.5,316122.7,327144.9,405682.3,338569,355042.3,331903.2,307093.3,315449.8,413074.9,311670.8,208679.1,290131.6,114856.8,173086.4,120057.9,176680.8,53814.69,78845.5,111387.5,213770.5,149553.3,127778.7,193902.1,194898.9,159721.3,262752.9,230780.2,202099.2,
Aguamilpa - Solidaridad,Aguamilpa - Solidaridad,3,960,0.13,21.83976,-104.80274,13Q,520367.71,2415045.24,Río Santiago,Río Santiago 5,Lerma Santiago Pacifico,Lerma - Santiago,Nayarit,Del Nayar,Occidental,187,Enrocamiento con cara de concreto,Flexibletierra y/o enrocamiento,5540,,Generación eléctrica,Media Sísmisidad,CFE y CONAGUA,210.2,208.36,208.7,207.54,206.2,206.14,203.77,206.89,211.74,215.8,216.05,214.42,209.41,208.17,208.84,207.97,206.3,202.11,198.83,208.2,221.97,221.58,219.52,218.81,216.74,214.95,212.27,208.65,205.45,202.33,199.82,204.4,204.69,208.96,208.89,207.19,209.76,208.39,215.33,214.5,212,207.76,204.68,209.09,209.96,218.6,217.37,216,214.53,213.96,212.49,211.48,209.94,207.8,205.27,204.97,206.53,207.19,205.41,203.29,201.02,199.03,197.53,195.67,194.31,194.98,196.69,201.38,206.42,208.16,205.71,203.89,201.49,199.93,198.25,196.24,194.75,195.69,198.49,202.09,205.45,211.4,211.6,212.33,212.02,212.54,208.66,204.13,201.91,200.09,202.39,204.81,207.11,210.1,212.55,212.94,211.43,211.45,216.7,217.67,216.33,211.65,207.9,207.98,209.34,214,215.2,215.54,93595.6,62190.4,67857.98,143552.78,221008.51,97234.81,66313.13,164638.79,218670.8,197062.27,83618.04,70589.03,82993,52551,41875,54387,145761,56847,62025,348511,651570,384688,88197,91349,81453,60430,140736,174277,182170,180287,297733,270147,474539,419860,92906,70466,67289.94,47536.49,59153.55,164011.2,172090.7,162185.68,119684.16,226631.75,161879.88,65641.19,50355.22,56620.19,51945.93,50791.64,54116.72,56658.36,57812.9,65986.47,63876.67,63593.93,54856.7,55475.28,52802.72,55972.98,65673.5,49892.96,60209.2,63325.73,73722.81,114870.36,251230.68,496547.65,119641.97,67194.23,99158.46,180829.95,94232.11,75977.89,107576.26,94466.7,169387.76,137580.54,270284.13,473158.56,688714.49,240019.17,74403.7,103855.6,103028.86,173802.55,194622.51,177567,171908,126207,89135,94843,56722,66423,55674,56412,57971,51025,131384,133597,293647,196162,344169,485299,176411,151812,65507,56155,70512,116821,66168,65016,144988,226191,130689,111721,79622,65934,58512,58788,48062,38939,43746,52773,64641,82248,52841,89886,79133,89957,52547,61467,43801,38950,43418,55648,46417,59503,48827,54188,42842,50731.93,45100.72,45866.02,
Zimapán,Ing. Fdo. Hiriart Valderrama (Zimapán),2,292,0.58,20.66291,-99.50158,14Q,447738.38,2284957.91,Río Moctezuma,,Golfo Norte,Pánuco,HGO/QRO,Zimapán,,203,Concreto,Rígida de Gravedad,930,,Generación eléctrica,Baja Sísmicidad,CFE y CONAGUA,1556.18,1555.33,1555.27,1553.44,1551.75,1550.09,1549.97,1549.39,1550.42,1558.93,1557.66,1554.87,1552.09,1551.54,1550.47,1548.65,1548.32,1547.37,1545.06,1546.89,1552.39,1560,1557.17,1554.18,1551.39,1552.42,1553.46,1551.53,1550.22,1547.74,1545,1542.41,1540.23,1548.97,1553.41,1555.92,1554.83,1554.15,1557.16,1555.5,1552.73,1549.59,1546.06,1547.76,1547.07,1546.89,1549,1551.46,1553.38,1553.63,1553.87,1552.21,1550.9,1548.52,1546.56,1550.73,1547.51,1552.48,1553.19,1552.25,1551.36,1551.75,1554.68,1554.25,1552.14,1549.23,1546.11,1547.75,1547.62,1545.94,1545.15,1545.63,1544.25,1545.5,1546.88,1546.8,1545.16,1545,1544.08,1544.55,1543.75,1555.7,1557.23,1557.64,1556.44,1556.59,1555.57,1554.25,1551.76,1550.16,1552.02,1558.4,1557.46,1558.94,1559.2,1557.61,1557.2,1557.57,1556.98,1557.58,1554.59,1552.47,1552.07,1557.48,1554.62,1559.07,1557.53,1556.77,89400.56,89495.22,51424.6,118296.3,128667.7,113729.8,67109.82,12542.2,111506.4,164372.2,108344.6,115420.5,123194,89787,67875,77340,110391,12200,729,,133240,157918,140297,71688,68384,69608,95300,141294,179450,196124,205474,206636,205347,191664,84093,43301,98646.09,105432.3,98618.55,86711.1,133625.9,138229.8,171226.1,172334.9,110174,57284.94,28602.49,72075.66,69548.45,84924.49,63986.58,60222.55,98100.57,107033.7,94225.17,168207.9,194327.1,143492.2,65139.64,77416.63,110307.6,91012.7,121122.5,119113.2,116259.9,86918.47,178727.8,205782.7,201433.5,207992.1,196392.4,179092,106431.5,97811,107157.1,58057.91,90648.4,121473.5,180346.3,202396.9,200826.4,207533.6,175134.9,169892.1,46166.95,30538.36,120599.3,87794.29,130042.3,134810.8,137384.6,119739.8,58988.31,98080.64,93965.23,108678.8,118442.6,82481,114978.1,155896.3,148769.5,153328,139569.8,188259.7,142404.5,28275,13548.87,13382.43,64461.77,54774.21,111904.1,98977.16,121871,125348.7,124506.1,179472,143453.6,123371.8,117283.3,109761,67229.37,12491.09,84014.26,127921.3,150154.6,159804.7,108873,166196.5,149457.7,148884.4,77285.62,107968,51565.6,20860,69522.43,104340.6,68215.91,103319.7,80716.01,104352.8,75373.18,184981.7,175400.7,147995.1,
Jose Ma. Morelos Y Pavon,La Villita,4,320,0.58,18.04795,-102.18062,13Q,798491.79,1997773.95,Río Balsas,Bajo Río Balsas,Balsas,Costa de Michoacán,Michoacán,Lázaro Cárdenas,Central,73,Enrocamiento,Flexibletierra y/o enrocamiento,510,,Generación eléctrica,Alta Sísmisidad,CFE y CONAGUA,50.64,50.55,50.6,50.66,50.24,50.59,50.82,49.67,49.77,49.19,50.17,50.37,50.28,49.89,50.03,50.12,49.85,49.3,49.4,50.34,50.13,50.96,49.84,50.08,50.14,50,49.97,50.12,50,50,50.12,49.9,49.93,49.87,49.84,50.23,49.96,49.92,49.94,49.78,49.78,50.24,49.76,50.29,50.34,50.79,50.28,49.88,50.1,50.18,49.97,50.14,50.18,49.98,50.14,49.75,50.12,49.93,49.94,50,49.92,49.9,49.92,50.06,50.2,49.82,49.83,49.9,50.15,50.14,49.86,49.86,50.03,49.92,50.08,50.03,49.99,45.06,47.44,47.38,47.61,47.97,47.91,47.53,47.39,47.64,47.56,47.67,47.6,49.95,49.89,50.04,50,50.02,49.96,49.97,50.04,50.02,49.94,50.06,50.05,47.97,50.03,50.12,50.09,49.06,50.11,49.95,64453.06,61822.01,69127.05,107478.8,58393.58,73929.4,73488.47,144577.2,124002.1,166552.2,129325.3,113567.5,69614,49550,48425,63910,122910,50448,134523,109000,190627,185496,91809,54368,54034,42646,100761,99268,174811,191796,165390,131184,110730,172394,107698,71821,61799.66,40294.52,42971.46,114776.8,122297.6,145981.7,132471.6,170647.1,153642.7,58348.64,46736.41,54861.72,67612.71,59000.67,41430.54,67453.55,130988.9,109141,67457.78,115119,104249.8,127177.6,117750.6,59371.76,87758.47,87801.45,119348.3,89694.66,85000.49,119466.1,79348.81,112532.8,201014,152158.7,117772.6,150012.4,55699.27,95634.24,100311.5,55504.12,39895.3,37117.4,114065.9,178317.5,180064,211322,89259.36,64330.81,68345.63,92488.85,78511.09,104530.4,106451.6,109662.9,109525.3,68014.84,39819.2,48852.83,51936.02,43208.99,40673.6,56812.64,123019.9,123302.8,169970.4,104096.2,90142.04,212704.7,201832.7,197275,84789.46,66494.96,95230.05,85347.39,96457.09,89340.12,70004.12,63283.58,121206.4,168660.2,208472.6,129623.3,107074.2,88995.2,86031.88,84748.3,101819,113053.1,150653.1,74545.32,76632.99,170807.3,145067.9,157938.1,56555.71,93081.96,47895.14,43804.71,55364.46,85316.28,61887.59,63445.66,151790.3,105521.5,171245.2,205864.5,187273.7,104497.7,
Huites,Luis Donaldo Colosio (Huites),2,422,0.25,26.84477,-108.36847,12R,761750.3,2971962.07,Río Fuerte,Río Fuerte 1,Pacífico Norte,Sinaloa,Sinaloa,Choix,Noroeste,164.75,Concreto,Rígida de Gravedad,2908,,Generación eléctrica,Baja Sísmicidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28504.56,9855.62,26946.36,30039.54,24648.89,58895.69,18570.04,75140.89,44403.92,69291.47,79303.6,17994.57,168,8688,17111,15764,4235,4631,16544,19319,76900,86646,95077,8034,0,0,11623,8513,4164,15842,28984,78347,83967,77321,99169,201594,47586.73,232778.5,122714.9,94898.42,75166.85,72640.28,57722.22,93261.67,163050.7,87473.62,57529.53,59285.9,22373.95,19465.19,21693.6,30276.79,44430.78,43843.56,77247.21,93917.41,285252.3,99115.94,49804.06,78146.83,178161,113468.4,29544.54,31294.82,51433.11,129383.5,82976.47,138929.5,111211.6,78084.64,68146.86,95867.26,110632.2,74847.16,54848.79,39271.6,33624.7,60872.72,71202.75,313792.4,303294.7,96289.39,64953.7,30264.53,43750.31,78031.79,51955.11,39736.24,69884.08,53539.86,111650.8,55811.9,112972.7,193994.3,55718.35,44208.16,45367.19,86196.64,18542.24,23678.27,67154.38,74705.74,107245.2,193150.3,245668.6,97597,43674.64,70632.74,62514.91,56292.23,13762.49,30527.83,40646.92,85639.5,25407.82,58052.42,62167.58,24700.11,52809.09,37707.57,10540.65,7228.52,13804.87,15225.65,0,0,2063.07,115432.6,126593.2,89247.21,60684.93,44114.73,5741.25,11430.84,37881.07,12781.15,8936.06,4257.35,6844.56,68339.69,140410.5,146809.8,80613.33,100411.1,
